Var1,error
16,0.829071668426349
19,0.2339612267361
22,0.092142449145755
26,0.0358021196702233
32,0.0123244021609283
38,0.00538328079205851
45,0.00245438937357441
53,0.00116895746779849
64,0.000505294104684037
76,0.000239353071680796
90,0.000115622877203061
107,5.52486768351541e-05
128,2.58878253477436e-05
152,1.26089858345167e-05
181,6.07285310066827e-06
215,2.94517055837695e-06
256,1.39851616516444e-06
